Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
2004-05,19,POR,NBA,PG,68,26,1330,9.7,.471,.160,.309,0.9,7.8,4.5,27.8,1.4,0.2,20.4,21.2,-0.9,0.5,-0.4,-0.013,-3.4,-2.5,-5.9,-1.3,
2005-06,20,POR,NBA,PG,68,30,1641,13.0,.491,.280,.303,1.4,7.5,4.4,26.5,2.2,0.3,14.9,22.2,0.4,0.2,0.6,.017,-1.2,-1.6,-2.8,-0.3,
2006-07,21,BOS,NBA,PG,78,30,1578,8.6,.458,.270,.232,1.3,7.1,4.1,22.7,1.4,0.5,15.8,17.8,-0.5,1.0,0.5,.015,-3.2,-1.0,-4.2,-0.9,
2007-08,22,MIN,NBA,PG,60,51,1933,10.4,.462,.205,.189,0.9,7.4,4.0,27.7,1.6,0.5,15.6,16.6,0.2,0.5,0.7,.018,-2.2,-1.0,-3.1,-0.6,
2008-09,23,MIN,NBA,PG,75,43,2095,10.8,.481,.303,.230,1.7,5.5,3.5,26.1,1.8,0.4,16.0,19.6,0.0,0.8,0.8,.019,-2.0,-1.4,-3.4,-0.7,
2009-10,24,2TM,NBA,PG,43,1,659,10.3,.479,.279,.184,0.9,7.1,4.0,29.9,1.9,0.6,18.7,18.4,-0.1,0.4,0.3,.020,-3.4,-1.0,-4.4,-0.4,
2009-10,24,LAC,NBA,PG,39,1,582,9.8,.470,.283,.187,1.0,7.2,4.1,30.3,2.0,0.6,19.7,17.4,-0.1,0.3,0.2,.015,-3.5,-0.8,-4.3,-0.3,
2009-10,24,CLE,NBA,PG,4,0,77,14.0,.518,.257,.171,0.0,5.9,3.1,27.1,1.4,0.0,13.7,26.4,0.0,0.1,0.1,.065,-2.0,-2.7,-4.7,-0.1,
2010-11,25,MIN,NBA,PG,37,8,711,10.5,.497,.324,.249,2.6,5.9,4.2,24.2,1.7,0.3,19.3,19.9,0.0,0.2,0.1,.008,-1.9,-1.6,-3.5,-0.3,
2011-12,26,PHO,NBA,PG,60,1,895,13.2,.495,.307,.196,2.5,8.9,5.7,24.5,2.4,1.0,15.5,22.3,0.4,0.7,1.1,.058,-1.7,0.4,-1.3,0.1,
2012-13,27,2TM,NBA,PG,59,2,980,10.9,.488,.485,.223,1.5,8.5,4.9,23.9,2.0,0.8,15.9,18.5,0.3,0.5,0.8,.039,-1.5,-0.2,-1.7,0.1,
2012-13,27,PHO,NBA,PG,46,2,795,10.9,.505,.457,.231,1.7,8.2,4.9,21.9,1.8,0.9,16.3,18.2,0.3,0.4,0.7,.042,-1.4,-0.3,-1.7,0.1,
2012-13,27,TOR,NBA,PG,13,0,185,10.7,.416,.597,.194,0.6,9.8,5.1,32.5,2.6,0.4,14.1,19.6,0.0,0.1,0.1,.029,-1.8,0.1,-1.7,0.0,
2013-14,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2014-15,29,OKC,NBA,PG,16,1,327,11.4,.479,.480,.272,0.7,9.0,4.9,20.8,1.5,0.0,11.4,20.8,0.2,0.2,0.4,.063,-1.0,-0.4,-1.4,0.1,
10 Yrs,10 Yrs,10 Yrs,10 Yrs,,564,193,12149,10.8,.478,.287,.240,1.4,7.2,4.3,25.8,1.8,0.5,16.4,19.5,0.0,5.0,5.0,.020,-2.2,-1.2,-3.4,-4.2,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,28,1766,10.8,.478,.287,.240,1.4,7.2,4.3,25.8,1.8,0.5,16.4,19.5,0.0,0.7,0.7,.020,-2.2,-1.2,-3.4,-0.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIN (3 Yrs),MIN (3 Yrs),MIN (3 Yrs),MIN (3 Yrs),,172,102,4739,10.6,.476,.270,.218,1.5,6.3,3.9,26.5,1.7,0.4,16.4,18.5,0.2,1.5,1.7,.017,-2.0,-1.2,-3.3,-1.5,
POR (2 Yrs),POR (2 Yrs),POR (2 Yrs),POR (2 Yrs),,136,56,2971,11.5,.482,.229,.306,1.2,7.7,4.4,27.1,1.8,0.2,17.3,21.8,-0.5,0.7,0.2,.004,-2.2,-2.0,-4.2,-1.6,
PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),,106,3,1690,12.1,.500,.370,.211,2.1,8.5,5.3,23.3,2.1,1.0,15.8,20.3,0.7,1.1,1.8,.050,-1.6,0.1,-1.5,0.2,
