"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Victor Oladipo,,8.2,4.9,4.0,3.5,2.3,1.3,0.6,0.4,0.4,0.0,,
Gene Littles,88.4,7.7,4.8,4.2,3.6,1.6,1.4,,,,,,
Larry Drew,85.8,7.2,4.6,3.6,3.0,2.8,1.4,1.2,0.5,0.1,0.0,,
Mike James,84.1,7.6,5.2,4.3,2.8,1.8,0.4,0.3,0.3,0.0,-0.1,-0.1,-0.1
Grayson Allen,84.0,6.9,5.1,4.2,2.7,2.5,1.2,0.0,,,,,
Dick Garmaker,83.6,7.5,4.7,4.6,4.4,3.1,1.3,,,,,,
Delonte West,82.7,6.4,5.7,3.7,3.3,2.2,1.3,0.9,0.9,,,,
Eric Murdock,82.4,7.2,6.1,4.3,4.1,2.5,0.6,0.4,0.3,0.1,,,
Dejounte Murray,82.1,7.3,4.9,4.7,3.3,3.2,2.6,0.2,0.0,,,,
Bill Melchionni,81.9,8.4,6.5,4.8,3.3,1.8,1.6,1.5,1.1,-0.1,,,
Monte Morris,81.7,6.2,5.4,4.2,3.8,2.9,1.2,0.8,0.2,,,,
