"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Quincy Douby,,0.0,0.0,0.0
Jared Cunningham,-80.8,0.1,0.0,0.0
Ron Harper Jr.,-86.3,0.2,0.0,0.0
Ira Bowman,-88.1,0.1,0.1,0.0
Jarell Eddie,-89.1,0.1,0.1,0.0
Lindell Wigginton,-90.3,0.2,0.1,0.0
Michael Hawkins,-91.1,0.2,0.0,0.0
Bo Kimble,-91.3,0.1,0.0,0.0
Devon Dotson,-91.6,0.2,0.1,0.0
Jamison Brewer,-92.3,0.2,0.0,0.0
Dominique Jones,-92.4,0.2,0.0,0.0
