Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2009-10,21,DET,NBA,SF,69.0,4.0,915.0,8.1,17.5,0.464,1.7,5.6,0.305,6.4,11.8,0.54,0.514,2.7,3.3,0.821,2.0,8.3,10.3,2.0,1.5,1.5,2.8,6.8,20.7,105.0,110.0,
2010-11,22,DET,NBA,SF,72.0,16.0,1446.0,7.2,17.5,0.41,2.6,6.4,0.401,4.6,11.1,0.415,0.483,3.1,4.0,0.759,2.4,7.8,10.2,2.9,1.5,1.5,2.2,6.1,20.0,106.0,110.0,
2011-12,23,DET,NBA,SF,41.0,4.0,603.0,6.5,20.2,0.322,1.2,5.5,0.21,5.4,14.7,0.364,0.35,3.1,3.8,0.814,1.2,6.9,8.1,2.9,2.0,1.9,3.6,5.5,17.3,80.0,104.0,
2012-13,24,2TM,NBA,SF,55.0,0.0,676.0,7.1,16.5,0.433,3.2,7.8,0.418,3.9,8.7,0.445,0.531,2.1,2.7,0.765,1.3,8.5,9.7,3.3,1.1,1.7,2.3,6.5,19.6,109.0,104.0,
2012-13,24,DET,NBA,SF,24.0,0.0,348.0,6.5,14.7,0.443,3.2,6.1,0.525,3.3,8.7,0.386,0.552,2.3,2.7,0.833,1.5,8.0,9.6,3.2,0.8,1.2,2.0,6.5,18.5,115.0,109.0,
2012-13,24,MEM,NBA,SF,31.0,0.0,328.0,7.8,18.4,0.423,3.3,9.6,0.345,4.5,8.8,0.509,0.514,1.8,2.6,0.688,1.0,8.9,9.9,3.5,1.5,2.3,2.6,6.5,20.7,104.0,99.0,
2013-14,25,2TM,NBA,SF,22.0,1.0,148.0,8.3,23.4,0.353,4.1,12.7,0.324,4.1,10.7,0.387,0.441,2.1,3.4,0.6,1.7,7.6,9.3,2.8,1.4,1.4,1.7,6.2,22.7,94.0,103.0,
2013-14,25,TOR,NBA,SF,8.0,0.0,33.0,4.8,20.6,0.231,0.0,12.7,0.0,4.8,7.9,0.6,0.231,3.2,4.8,0.667,3.2,7.9,11.1,3.2,0.0,0.0,0.0,6.3,12.7,79.0,109.0,
2013-14,25,SAS,NBA,SF,14.0,1.0,115.0,9.2,24.2,0.382,5.3,12.7,0.414,4.0,11.4,0.346,0.491,1.8,3.1,0.571,1.3,7.5,8.8,2.6,1.8,1.8,2.2,6.2,25.5,98.0,101.0,
2014-15,26,2TM,NBA,SF,34.0,4.0,344.0,7.4,21.0,0.355,3.6,10.6,0.338,3.9,10.4,0.371,0.44,0.7,0.9,0.833,1.5,9.7,11.2,2.5,1.8,0.7,3.4,5.8,19.2,85.0,101.0,
2014-15,26,SAS,NBA,SF,26.0,4.0,268.0,7.6,22.0,0.348,3.6,10.9,0.333,4.0,11.1,0.362,0.43,0.8,0.8,1.0,1.1,10.5,11.7,1.7,1.5,0.6,3.4,5.7,19.7,82.0,101.0,
2014-15,26,ATL,NBA,SF,8.0,0.0,76.0,6.7,17.5,0.385,3.4,9.4,0.357,3.4,8.1,0.417,0.481,0.7,1.3,0.5,2.7,6.7,9.4,5.4,2.7,1.3,3.4,6.1,17.5,96.0,101.0,
6 Yrs,6 Yrs,6 Yrs,6 Yrs,,293.0,29.0,4132.0,7.3,18.3,0.402,2.4,6.9,0.351,4.9,11.3,0.433,0.469,2.6,3.3,0.778,1.9,8.0,9.9,2.7,1.5,1.5,2.6,6.2,19.7,99.0,107.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DET (4 Yrs),DET (4 Yrs),DET (4 Yrs),DET (4 Yrs),,206.0,24.0,3312.0,7.2,17.7,0.409,2.1,6.0,0.358,5.1,11.7,0.436,0.47,2.9,3.7,0.791,2.0,7.8,9.8,2.7,1.5,1.5,2.6,6.2,19.5,101.0,109.0,
SAS (2 Yrs),SAS (2 Yrs),SAS (2 Yrs),SAS (2 Yrs),,40.0,5.0,383.0,8.1,22.6,0.359,4.1,11.4,0.36,4.0,11.2,0.357,0.45,1.1,1.5,0.727,1.2,9.6,10.8,2.0,1.6,0.9,3.1,5.9,21.4,87.0,101.0,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,31.0,0.0,328.0,7.8,18.4,0.423,3.3,9.6,0.345,4.5,8.8,0.509,0.514,1.8,2.6,0.688,1.0,8.9,9.9,3.5,1.5,2.3,2.6,6.5,20.7,104.0,99.0,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,8.0,0.0,76.0,6.7,17.5,0.385,3.4,9.4,0.357,3.4,8.1,0.417,0.481,0.7,1.3,0.5,2.7,6.7,9.4,5.4,2.7,1.3,3.4,6.1,17.5,96.0,101.0,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,8.0,0.0,33.0,4.8,20.6,0.231,0.0,12.7,0.0,4.8,7.9,0.6,0.231,3.2,4.8,0.667,3.2,7.9,11.1,3.2,0.0,0.0,0.0,6.3,12.7,79.0,109.0,
