Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2008-09,20,OKC,NBA,PG,82,65,2668,436,1095,.398,35,129,.271,401,966,.415,.414,349,428,.815,178,221,399,435,110,16,274,191,1256,1,ROY-4
2009-10,21,OKC,NBA,PG,82,82,2813,485,1160,.418,23,104,.221,462,1056,.438,.428,329,422,.780,143,258,401,652,108,34,268,204,1322,1,
2010-11,22,OKC,NBA,PG,82,82,2847,614,1390,.442,34,103,.330,580,1287,.451,.454,531,631,.842,121,258,379,670,155,30,316,207,1793,3,"AS,NBA2"
2011-12,23,OKC,NBA,PG,66,66,2331,578,1266,.457,62,196,.316,516,1070,.482,.481,340,413,.823,96,205,301,362,112,21,239,147,1558,0,"MVP-12,DPOY-18,AS,NBA2"
2012-13,24,OKC,NBA,PG,82,82,2861,673,1535,.438,97,300,.323,576,1235,.466,.470,460,575,.800,111,317,428,607,145,24,273,189,1903,1,"MVP-9,DPOY-17,AS,NBA2"
2013-14,25,OKC,NBA,PG,46,46,1412,346,791,.437,68,214,.318,278,577,.482,.480,242,293,.826,55,208,263,319,88,7,177,104,1002,2,
2014-15,26,OKC,NBA,PG,67,67,2302,627,1471,.426,86,288,.299,541,1183,.457,.455,546,654,.835,124,364,488,574,140,14,293,184,1886,11,"MVP-4,AS,NBA2"
2015-16,27,OKC,NBA,PG,80,80,2750,656,1444,.454,101,341,.296,555,1103,.503,.489,465,573,.812,145,481,626,834,163,20,342,200,1878,18,"MVP-4,AS,NBA1"
2016-17,28,OKC,NBA,PG,81,81,2802,824,1941,.425,200,583,.343,624,1358,.459,.476,710,840,.845,137,727,864,840,132,31,438,190,2558,42,"MVP-1,AS,NBA1"
2017-18,29,OKC,NBA,PG,80,80,2914,757,1687,.449,97,326,.298,660,1361,.485,.477,417,566,.737,152,652,804,820,147,20,381,200,2028,25,"MVP-5,AS,NBA2"
2018-19,30,OKC,NBA,PG,73,73,2630,630,1473,.428,119,411,.290,511,1062,.481,.468,296,451,.656,109,698,807,784,142,33,325,245,1675,34,"MVP-10,AS,NBA3"
2019-20,31,HOU,NBA,PG,57,57,2049,604,1281,.472,55,213,.258,549,1068,.514,.493,290,380,.763,100,351,451,401,93,20,255,200,1553,8,"AS,NBA3"
2020-21,32,WAS,NBA,PG,65,65,2369,544,1238,.439,86,273,.315,458,965,.475,.474,271,413,.656,109,641,750,763,89,23,312,190,1445,38,MVP-11
2021-22,33,LAL,NBA,PG,78,78,2678,548,1233,.444,79,265,.298,469,968,.485,.476,266,399,.667,110,470,580,550,75,20,295,235,1441,10,
