Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2014-15,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league
2015-16,20,DEN,NBA,C,80,55,21.7,3.8,7.5,.512,0.4,1.1,.333,3.5,6.5,.541,.535,1.9,2.4,.811,2.3,4.7,7.0,2.4,1.0,0.6,1.3,2.6,10.0,ROY-3
2016-17,21,DEN,NBA,C,73,59,27.9,6.8,11.7,.578,0.6,1.9,.324,6.2,9.8,.628,.605,2.6,3.1,.825,2.9,6.9,9.8,4.9,0.8,0.8,2.3,2.9,16.7,
2017-18,22,DEN,NBA,C,75,73,32.6,6.7,13.5,.499,1.5,3.7,.396,5.2,9.7,.538,.554,3.5,4.2,.850,2.6,8.1,10.7,6.1,1.2,0.8,2.8,2.8,18.5,
2018-19,23,DEN,NBA,C,80,80,31.3,7.7,15.1,.511,1.0,3.4,.307,6.7,11.7,.569,.545,3.6,4.4,.821,2.9,8.0,10.8,7.3,1.4,0.7,3.1,2.9,20.1,"MVP-4,AS,NBA1"
2019-20,24,DEN,NBA,C,73,73,32.0,7.7,14.7,.528,1.1,3.5,.314,6.6,11.2,.594,.565,3.4,4.1,.817,2.3,7.5,9.7,7.0,1.2,0.6,3.1,3.0,19.9,"MVP-9,AS,NBA2"
2020-21,25,DEN,NBA,C,72,72,34.6,10.2,18.0,.566,1.3,3.3,.388,8.9,14.7,.606,.602,4.8,5.5,.868,2.8,8.0,10.8,8.3,1.3,0.7,3.1,2.7,26.4,"MVP-1,AS,NBA1"
2021-22,26,DEN,NBA,C,74,74,33.5,10.3,17.7,.583,1.3,3.9,.337,9.0,13.8,.652,.620,5.1,6.3,.810,2.8,11.0,13.8,7.9,1.5,0.9,3.8,2.6,27.1,"MVP-1,AS,NBA1"
2022-23,27,DEN,NBA,C,69,69,33.7,9.4,14.8,.632,0.8,2.2,.383,8.5,12.7,.675,.660,4.9,6.0,.822,2.4,9.4,11.8,9.8,1.3,0.7,3.6,2.5,24.5,"MVP-2,CPOY-13,AS,NBA2"
2023-24,28,DEN,NBA,C,79,79,34.6,10.4,17.9,.583,1.1,2.9,.359,9.4,14.9,.626,.612,4.5,5.5,.817,2.8,9.5,12.4,9.0,1.4,0.9,3.0,2.5,26.4,"MVP-1,CPOY-4,AS,NBA1"
2024-25,29,DEN,NBA,C,70,70,36.7,11.2,19.5,.576,2.0,4.7,.417,9.3,14.8,.627,.627,5.2,6.4,.800,2.9,9.9,12.7,10.2,1.8,0.6,3.3,2.3,29.6,"MVP-2,CPOY-2,AS,NBA1"
2025-26,30,DEN,NBA,C,14,14,34.5,10.9,16.9,.641,1.9,4.6,.400,9.0,12.3,.733,.696,5.6,6.5,.857,3.1,10.1,13.2,11.1,1.7,0.8,3.6,2.9,29.1,
11 Yrs,11 Yrs,11 Yrs,11 Yrs,,759,718,31.8,8.4,15.0,.561,1.1,3.1,.361,7.3,11.9,.613,.598,4.0,4.8,.824,2.7,8.3,11.0,7.3,1.3,0.7,2.9,2.7,21.9,
