Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2007-08,22,BOS,NBA,C,69.0,1.0,940.0,6.0,12.4,0.484,0.0,0.0,,6.0,12.4,0.484,0.484,5.6,8.4,0.66,5.3,6.3,11.7,1.6,1.7,1.1,3.7,9.0,17.6,105.0,99.0,
2008-09,23,BOS,NBA,C,76.0,16.0,1637.0,6.5,14.6,0.442,0.1,0.2,0.4,6.4,14.4,0.443,0.444,4.2,5.8,0.73,3.9,5.8,9.8,2.2,1.7,0.6,2.3,7.5,17.2,106.0,103.0,
2009-10,24,BOS,NBA,PF,54.0,1.0,933.0,6.8,15.7,0.437,0.0,0.2,0.0,6.8,15.4,0.444,0.437,5.4,7.7,0.696,5.7,5.8,11.5,2.0,1.2,0.8,3.0,7.4,19.1,103.0,106.0,
2010-11,25,BOS,NBA,C,78.0,13.0,2298.0,8.3,18.5,0.448,0.0,0.3,0.133,8.3,18.2,0.454,0.449,4.5,6.1,0.736,2.3,7.5,9.8,2.1,1.8,0.7,2.0,5.3,21.1,101.0,100.0,6MOY-4
2011-12,26,ORL,NBA,PF,61.0,13.0,1427.0,8.5,20.2,0.421,0.1,0.5,0.143,8.4,19.6,0.429,0.423,4.3,6.3,0.683,4.0,8.5,12.5,1.8,1.6,0.7,2.8,4.0,21.4,96.0,103.0,
2012-13,27,ORL,NBA,PF,34.0,33.0,1064.0,10.5,23.4,0.448,0.0,0.1,0.0,10.5,23.3,0.45,0.448,4.1,5.7,0.718,2.7,9.3,12.0,3.4,1.6,1.0,3.1,4.3,25.1,97.0,107.0,
2013-14,28,2TM,NBA,PF,68.0,44.0,1662.0,8.3,18.2,0.457,0.1,0.3,0.364,8.2,17.9,0.459,0.46,2.9,4.2,0.693,3.3,7.5,10.8,2.4,1.8,0.9,2.3,4.9,19.7,99.0,106.0,
2013-14,28,ORL,NBA,PF,45.0,43.0,1354.0,8.8,19.4,0.453,0.2,0.4,0.4,8.6,19.0,0.454,0.457,2.9,4.3,0.675,3.3,7.4,10.7,2.7,1.7,0.8,2.2,4.2,20.6,99.0,107.0,
2013-14,28,LAC,NBA,PF,23.0,1.0,308.0,6.3,13.2,0.481,0.0,0.2,0.0,6.3,13.0,0.488,0.481,2.9,3.7,0.783,3.4,7.8,11.2,1.1,1.9,1.1,2.8,7.8,15.6,101.0,104.0,
2014-15,29,LAC,NBA,PF,74.0,0.0,904.0,6.6,14.3,0.459,0.0,0.2,0.0,6.6,14.1,0.466,0.459,3.4,5.3,0.632,2.4,7.1,9.5,2.2,2.3,1.2,2.2,7.4,16.5,100.0,104.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,514.0,121.0,10865.0,7.8,17.4,0.447,0.0,0.3,0.182,7.7,17.2,0.451,0.448,4.2,6.0,0.7,3.5,7.3,10.8,2.2,1.7,0.8,2.6,6.0,19.9,100.0,103.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOS (4 Yrs),BOS (4 Yrs),BOS (4 Yrs),BOS (4 Yrs),,277.0,31.0,5808.0,7.2,16.0,0.449,0.0,0.2,0.167,7.1,15.7,0.453,0.451,4.7,6.7,0.711,3.8,6.6,10.4,2.0,1.7,0.8,2.5,6.9,19.1,103.0,102.0,
ORL (3 Yrs),ORL (3 Yrs),ORL (3 Yrs),ORL (3 Yrs),,140.0,89.0,3845.0,9.2,20.8,0.44,0.1,0.4,0.231,9.1,20.4,0.444,0.442,3.8,5.4,0.691,3.4,8.3,11.7,2.6,1.7,0.8,2.7,4.2,22.1,97.0,106.0,
LAC (2 Yrs),LAC (2 Yrs),LAC (2 Yrs),LAC (2 Yrs),,97.0,1.0,1212.0,6.5,14.0,0.464,0.0,0.2,0.0,6.5,13.8,0.471,0.464,3.3,4.9,0.661,2.7,7.3,9.9,1.9,2.2,1.2,2.3,7.5,16.3,100.0,104.0,
